"No.","Time","Source","Destination","Protocol","Length","Info"
"37","3.136782","192.168.1.66","74.125.138.95","TCP","54","26702  >  443 [ACK] Seq=1 Ack=1 Win=66048 Len=0"
"38","3.136965","192.168.1.66","74.125.138.95","TLSv1.2","261","Client Hello"
"39","3.137374","192.168.1.66","74.125.138.95","TLSv1.2","261","Client Hello"
"40","3.174541","192.168.1.66","172.217.1.35","TCP","66","26703  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"41","3.175129","192.168.1.66","172.217.8.195","TCP","66","26704  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"42","3.175565","192.168.1.66","172.217.8.195","TCP","66","26705  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"45","3.208818","192.168.1.66","74.125.138.95","TCP","54","26702  >  443 [ACK] Seq=208 Ack=3875 Win=66048 Len=0"
"46","3.209644","192.168.1.66","74.125.138.95","TCP","54","26701  >  443 [ACK] Seq=208 Ack=3875 Win=66048 Len=0"
"47","3.212180","192.168.1.66","172.217.8.195","TCP","54","26704  >  443 [ACK] Seq=1 Ack=1 Win=66048 Len=0"
"48","3.213831","192.168.1.66","172.217.1.35","TCP","54","26703  >  443 [ACK] Seq=1 Ack=1 Win=66048 Len=0"
"49","3.213918","192.168.1.66","172.217.8.195","TCP","54","26705  >  443 [ACK] Seq=1 Ack=1 Win=66048 Len=0"
"50","3.221210","192.168.1.66","172.217.8.195","TLSv1.2","257","Client Hello"
"51","3.221713","192.168.1.66","172.217.1.35","TLSv1.2","258","Client Hello"
"52","3.222177","192.168.1.66","172.217.8.195","TLSv1.2","257","Client Hello"
"53","3.226032","192.168.1.66","224.0.0.251","MDNS","82","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"54","3.244544","192.168.1.66","172.217.1.42","TCP","66","26706  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"56","3.246516","192.168.1.66","224.0.0.251","MDNS","82","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"57","3.249476","192.168.1.66","224.0.0.251","MDNS","82","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"58","3.268356","192.168.1.66","172.217.8.195","TCP","54","26704  >  443 [ACK] Seq=204 Ack=4378 Win=66048 Len=0"
"59","3.268503","192.168.1.66","172.217.8.195","TCP","54","26705  >  443 [ACK] Seq=204 Ack=4378 Win=66048 Len=0"
"60","3.276145","192.168.1.66","172.217.1.35","TCP","54","26703  >  443 [ACK] Seq=205 Ack=4379 Win=66048 Len=0"
"61","3.278091","192.168.1.66","172.217.1.42","TCP","54","26706  >  443 [ACK] Seq=1 Ack=1 Win=66048 Len=0"
"62","3.279593","192.168.1.66","172.217.1.42","TLSv1.2","262","Client Hello"
"63","3.304464","192.168.1.66","172.217.1.35","TCP","66","26707  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"64","3.393280","192.168.1.66","172.217.9.67","TLSv1.2","312","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message, Encrypted Handshake Message"
"65","3.395569","192.168.1.66","172.217.9.67","TLSv1.2","312","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message, Encrypted Handshake Message"
"66","3.397766","192.168.1.66","172.217.8.195","TLSv1.2","312","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message, Encrypted Handshake Message"
"67","3.399867","192.168.1.66","172.217.8.195","TLSv1.2","312","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message, Encrypted Handshake Message"
"68","3.401973","192.168.1.66","172.217.1.35","TLSv1.2","312","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message, Encrypted Handshake Message"
"69","3.404145","192.168.1.66","74.125.138.95","TLSv1.2","312","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message, Encrypted Handshake Message"
"70","3.406590","192.168.1.66","74.125.138.95","TLSv1.2","312","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message, Encrypted Handshake Message"
"71","3.419867","192.168.1.66","172.217.1.42","TCP","66","26706  >  443 [ACK] Seq=209 Ack=3871 Win=66048 Len=0 SLE=2861 SRE=3871"
"72","3.419987","192.168.1.66","172.217.1.35","TCP","54","26707  >  443 [ACK] Seq=1 Ack=1 Win=66048 Len=0"
"73","3.421636","192.168.1.66","172.217.1.42","TLSv1.2","147","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"74","3.422614","192.168.1.66","172.217.1.35","TLSv1.2","267","Client Hello"
"75","3.441081","192.168.1.66","172.217.9.67","TCP","54","26699  >  443 [ACK] Seq=464 Ack=4789 Win=65792 Len=0"
"76","3.444184","192.168.1.66","172.217.9.67","TCP","54","26700  >  443 [ACK] Seq=464 Ack=4790 Win=65792 Len=0"
"77","3.444267","192.168.1.66","172.217.8.195","TCP","54","26704  >  443 [ACK] Seq=462 Ack=4787 Win=65792 Len=0"
"78","3.447203","192.168.1.66","172.217.8.195","TCP","54","26705  >  443 [ACK] Seq=462 Ack=4787 Win=65792 Len=0"
"79","3.447277","192.168.1.66","172.217.1.35","TCP","54","26703  >  443 [ACK] Seq=463 Ack=4789 Win=65792 Len=0"
"80","3.451564","192.168.1.66","172.217.1.42","TCP","54","26706  >  443 [ACK] Seq=302 Ack=4253 Win=65792 Len=0"
"81","3.465611","192.168.1.66","74.125.138.95","TCP","54","26702  >  443 [ACK] Seq=466 Ack=4288 Win=65792 Len=0"
"82","3.469285","192.168.1.66","172.217.1.35","TCP","54","26707  >  443 [ACK] Seq=214 Ack=3871 Win=66048 Len=0"
"83","3.469361","192.168.1.66","74.125.138.95","TCP","54","26701  >  443 [ACK] Seq=466 Ack=4288 Win=65792 Len=0"
"84","3.481168","192.168.1.66","172.217.1.35","TLSv1.2","147","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"85","3.482383","192.168.1.66","172.217.1.42","TLSv1.2","107","Application Data"
"86","3.482541","192.168.1.66","172.217.1.42","TLSv1.2","110","Application Data"
"87","3.482622","192.168.1.66","172.217.1.42","TLSv1.2","96","Application Data"
"88","3.483777","192.168.1.66","172.217.1.42","TLSv1.2","92","Application Data"
"89","3.484247","192.168.1.66","172.217.1.42","TLSv1.2","291","Application Data"
"90","3.493051","192.168.1.66","172.217.1.35","TLSv1.2","107","Application Data"
"91","3.493194","192.168.1.66","172.217.1.35","TLSv1.2","110","Application Data"
"92","3.493274","192.168.1.66","172.217.1.35","TLSv1.2","96","Application Data"
"93","3.493646","192.168.1.66","172.217.1.35","TLSv1.2","302","Application Data"
"94","3.512255","192.168.1.66","172.217.1.35","TCP","54","26707  >  443 [ACK] Seq=706 Ack=4258 Win=65792 Len=0"
"95","3.512562","192.168.1.66","172.217.1.35","TLSv1.2","92","Application Data"
"96","3.529203","192.168.1.66","172.217.1.42","TCP","54","26706  >  443 [ACK] Seq=728 Ack=4571 Win=65536 Len=0"
"97","3.531245","192.168.1.66","172.217.1.42","TCP","54","26706  >  443 [ACK] Seq=728 Ack=6021 Win=66048 Len=0"
"98","3.531864","192.168.1.66","172.217.1.42","TLSv1.2","100","Application Data"
"99","3.544662","192.168.1.66","172.217.1.35","TCP","54","26707  >  443 [ACK] Seq=744 Ack=4475 Win=65536 Len=0"
"100","3.545183","192.168.1.66","172.217.1.35","TCP","54","26707  >  443 [ACK] Seq=744 Ack=4559 Win=65536 Len=0"
"101","3.545475","192.168.1.66","172.217.1.35","TLSv1.2","100","Application Data"
"102","3.561239","192.168.1.66","192.168.1.255","NBNS","92","Name query NB WPAD<00>"
"108","4.090420","192.168.1.66","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"109","4.095147","192.168.1.66","216.58.218.228","TCP","66","26708  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"110","4.095518","192.168.1.66","216.58.218.228","TCP","66","26709  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"111","4.095836","192.168.1.66","216.58.218.228","TCP","66","26710  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"112","4.096138","192.168.1.66","216.58.218.228","TCP","66","26711  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"113","4.096443","192.168.1.66","216.58.218.228","TCP","66","26712  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"114","4.096742","192.168.1.66","216.58.218.228","TCP","66","26713  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"115","4.097627","192.168.1.66","216.58.218.228","QUIC","1392","Client Hello, PKN: 1, CID: 1759074841042734174"
"116","4.139281","192.168.1.66","216.58.218.228","TCP","54","26708  >  443 [ACK] Seq=1 Ack=1 Win=66048 Len=0"
"117","4.139688","192.168.1.66","216.58.218.228","TLSv1.2","256","Client Hello"
"118","4.144067","192.168.1.66","216.58.218.228","TCP","54","26709  >  443 [ACK] Seq=1 Ack=1 Win=66048 Len=0"
"119","4.144482","192.168.1.66","216.58.218.228","TLSv1.2","256","Client Hello"
"120","4.152775","192.168.1.66","216.58.218.228","TCP","54","26710  >  443 [ACK] Seq=1 Ack=1 Win=66048 Len=0"
"121","4.152776","192.168.1.66","216.58.218.228","TLSv1.2","256","Client Hello"
"122","4.152856","192.168.1.66","216.58.218.228","TCP","54","26713  >  443 [ACK] Seq=1 Ack=1 Win=66048 Len=0"
"123","4.152918","192.168.1.66","216.58.218.228","TCP","54","26712  >  443 [ACK] Seq=1 Ack=1 Win=66048 Len=0"
"124","4.153191","192.168.1.66","216.58.218.228","TLSv1.2","256","Client Hello"
"125","4.153451","192.168.1.66","216.58.218.228","TLSv1.2","256","Client Hello"
"126","4.153707","192.168.1.66","216.58.218.228","TLSv1.2","256","Client Hello"
"127","4.173811","192.168.1.66","216.58.218.228","QUIC","80","Payload (Encrypted), PKN: 2, CID: 1759074841042734174"
"128","4.181005","192.168.1.66","216.58.218.228","QUIC","1392","Client Hello, PKN: 3, CID: 1759074841042734174"
"129","4.181434","192.168.1.66","216.58.218.228","QUIC","578","Payload (Encrypted), PKN: 4, CID: 1759074841042734174"
"130","4.210096","192.168.1.66","216.58.218.228","TCP","54","26708  >  443 [ACK] Seq=203 Ack=3782 Win=66048 Len=0"
"131","4.210196","192.168.1.66","216.58.218.228","TCP","54","26709  >  443 [ACK] Seq=203 Ack=3782 Win=66048 Len=0"
"132","4.211399","192.168.1.66","216.58.218.228","TLSv1.2","312","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message, Encrypted Handshake Message"
"133","4.214174","192.168.1.66","216.58.218.228","TLSv1.2","312","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message, Encrypted Handshake Message"
"134","4.221708","192.168.1.66","216.58.218.228","TCP","54","26709  >  443 [FIN, ACK] Seq=461 Ack=3782 Win=66048 Len=0"
"135","4.222020","192.168.1.66","216.58.218.228","TLSv1.2","107","Application Data"
"136","4.222138","192.168.1.66","216.58.218.228","TLSv1.2","110","Application Data"
"137","4.222271","192.168.1.66","216.58.218.228","TLSv1.2","96","Application Data"
"138","4.240959","192.168.1.66","216.58.218.228","TCP","54","26711  >  443 [ACK] Seq=203 Ack=3782 Win=66048 Len=0"
"139","4.241035","192.168.1.66","216.58.218.228","TCP","54","26710  >  443 [ACK] Seq=203 Ack=2861 Win=66048 Len=0"
"140","4.243407","192.168.1.66","216.58.218.228","TLSv1.2","312","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message, Encrypted Handshake Message"
"141","4.246567","192.168.1.66","216.58.218.228","TCP","54","26711  >  443 [FIN, ACK] Seq=461 Ack=3782 Win=66048 Len=0"
"142","4.256561","192.168.1.66","216.58.218.228","TCP","54","26713  >  443 [ACK] Seq=203 Ack=3782 Win=66048 Len=0"
"143","4.256639","192.168.1.66","216.58.218.228","TCP","54","26712  >  443 [ACK] Seq=203 Ack=3782 Win=66048 Len=0"
"144","4.256794","192.168.1.66","224.0.0.251","MDNS","82","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"145","4.259899","192.168.1.66","216.58.218.228","TLSv1.2","312","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message, Encrypted Handshake Message"
"146","4.264814","192.168.1.66","216.58.218.228","TLSv1.2","312","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message, Encrypted Handshake Message"
"147","4.270467","192.168.1.66","216.58.218.228","TLSv1.2","312","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message, Encrypted Handshake Message"
"148","4.272327","192.168.1.66","216.58.218.228","TCP","54","26709  >  443 [RST, ACK] Seq=462 Ack=4121 Win=0 Len=0"
"149","4.272458","192.168.1.66","216.58.218.228","TCP","54","26708  >  443 [ACK] Seq=612 Ack=4190 Win=65792 Len=0"
"150","4.274345","192.168.1.66","216.58.218.228","QUIC","83","Payload (Encrypted), PKN: 5, CID: 1759074841042734174"
"151","4.274563","192.168.1.66","216.58.218.228","QUIC","80","Payload (Encrypted), PKN: 6, CID: 1759074841042734174"
"152","4.275133","192.168.1.66","172.217.19.195","TCP","66","26714  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"153","4.275456","192.168.1.66","172.217.19.195","TCP","66","26715  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"154","4.275825","192.168.1.66","216.58.218.228","QUIC","340","Payload (Encrypted), PKN: 7, CID: 1759074841042734174"
"155","4.275959","192.168.1.66","216.58.218.228","QUIC","66","Payload (Encrypted), PKN: 8, CID: 1759074841042734174"
"156","4.276204","192.168.1.66","216.58.218.228","QUIC","299","Payload (Encrypted), PKN: 9, CID: 1759074841042734174"
"157","4.276324","192.168.1.66","216.58.218.228","QUIC","66","Payload (Encrypted), PKN: 10, CID: 1759074841042734174"
"158","4.276471","192.168.1.66","216.58.218.228","TLSv1.2","92","Application Data"
"159","4.310026","192.168.1.66","172.217.19.195","TCP","66","26716  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"160","4.367803","192.168.1.66","216.58.218.228","TCP","54","26708  >  443 [ACK] Seq=650 Ack=4228 Win=65792 Len=0"
"161","4.386139","192.168.1.66","216.58.218.228","TCP","66","[TCP Dup ACK 142#1] 26713  >  443 [ACK] Seq=461 Ack=3782 Win=66048 Len=0 SLE=2861 SRE=3782"
"162","4.394356","192.168.1.66","216.58.218.228","TCP","54","26711  >  443 [RST, ACK] Seq=462 Ack=4121 Win=0 Len=0"
"163","4.396677","192.168.1.66","216.58.218.228","TCP","66","[TCP Dup ACK 143#1] 26712  >  443 [ACK] Seq=461 Ack=3782 Win=66048 Len=0 SLE=2861 SRE=3782"
"164","4.396884","192.168.1.66","216.58.218.228","TCP","54","26710  >  443 [ACK] Seq=461 Ack=4190 Win=64768 Len=0"
"165","4.396938","192.168.1.66","216.58.218.228","TCP","54","26713  >  443 [ACK] Seq=461 Ack=4190 Win=65792 Len=0"
"166","4.397093","192.168.1.66","216.58.218.228","TCP","54","26712  >  443 [ACK] Seq=461 Ack=4190 Win=65792 Len=0"
"167","4.398789","192.168.1.66","216.58.218.228","QUIC","89","Payload (Encrypted), PKN: 11, CID: 1759074841042734174"
"168","4.405046","192.168.1.66","172.217.19.195","TCP","54","26714  >  443 [ACK] Seq=1 Ack=1 Win=66048 Len=0"
"169","4.405470","192.168.1.66","172.217.19.195","TLSv1.2","257","Client Hello"
"170","4.406912","192.168.1.66","172.217.19.195","TCP","54","26715  >  443 [ACK] Seq=1 Ack=1 Win=66048 Len=0"
"171","4.407286","192.168.1.66","172.217.19.195","TLSv1.2","257","Client Hello"
"172","4.463631","192.168.1.66","216.58.218.228","QUIC","80","Payload (Encrypted), PKN: 12, CID: 1759074841042734174"
"173","4.464114","192.168.1.66","216.58.218.228","QUIC","80","Payload (Encrypted), PKN: 13, CID: 1759074841042734174"
"174","4.464254","192.168.1.66","216.58.218.228","QUIC","80","Payload (Encrypted), PKN: 14, CID: 1759074841042734174"
"175","4.469619","192.168.1.66","216.58.218.228","QUIC","80","Payload (Encrypted), PKN: 15, CID: 1759074841042734174"
"176","4.469740","192.168.1.66","216.58.218.228","QUIC","80","Payload (Encrypted), PKN: 16, CID: 1759074841042734174"
"177","4.470009","192.168.1.66","216.58.218.228","QUIC","80","Payload (Encrypted), PKN: 17, CID: 1759074841042734174"
"178","4.501902","192.168.1.66","216.58.218.228","QUIC","80","Payload (Encrypted), PKN: 18, CID: 1759074841042734174"
"179","4.502019","192.168.1.66","216.58.218.228","QUIC","80","Payload (Encrypted), PKN: 19, CID: 1759074841042734174"
"180","4.502092","192.168.1.66","216.58.218.228","QUIC","80","Payload (Encrypted), PKN: 20, CID: 1759074841042734174"
"181","4.502161","192.168.1.66","216.58.218.228","QUIC","80","Payload (Encrypted), PKN: 21, CID: 1759074841042734174"
"182","4.502230","192.168.1.66","216.58.218.228","QUIC","80","Payload (Encrypted), PKN: 22, CID: 1759074841042734174"
"183","4.502305","192.168.1.66","216.58.218.228","QUIC","80","Payload (Encrypted), PKN: 23, CID: 1759074841042734174"
"184","4.527481","192.168.1.66","216.58.218.228","QUIC","77","Payload (Encrypted), PKN: 24, CID: 1759074841042734174"
"185","4.543334","192.168.1.66","216.58.218.228","QUIC","80","Payload (Encrypted), PKN: 25, CID: 1759074841042734174"
"186","4.543503","192.168.1.66","216.58.218.228","QUIC","80","Payload (Encrypted), PKN: 26, CID: 1759074841042734174"
"187","4.543890","192.168.1.66","216.58.218.228","QUIC","80","Payload (Encrypted), PKN: 27, CID: 1759074841042734174"
"188","4.549799","192.168.1.66","216.58.218.228","QUIC","80","Payload (Encrypted), PKN: 28, CID: 1759074841042734174"
"189","4.549980","192.168.1.66","216.58.218.228","QUIC","80","Payload (Encrypted), PKN: 29, CID: 1759074841042734174"
"190","4.552163","192.168.1.66","216.58.218.228","QUIC","80","Payload (Encrypted), PKN: 30, CID: 1759074841042734174"
"191","4.552639","192.168.1.66","172.217.19.195","TCP","54","26716  >  443 [ACK] Seq=1 Ack=1 Win=66048 Len=0"
"192","4.552898","192.168.1.66","216.58.218.228","QUIC","80","Payload (Encrypted), PKN: 31, CID: 1759074841042734174"
"193","4.578505","192.168.1.66","216.58.218.228","QUIC","77","Payload (Encrypted), PKN: 32, CID: 1759074841042734174"
"194","4.594393","192.168.1.66","216.58.218.228","QUIC","80","Payload (Encrypted), PKN: 33, CID: 1759074841042734174"
"195","4.594477","192.168.1.66","172.217.19.195","TCP","54","26714  >  443 [ACK] Seq=204 Ack=4379 Win=66048 Len=0"
"196","4.594544","192.168.1.66","172.217.19.195","TCP","54","26715  >  443 [ACK] Seq=204 Ack=4377 Win=66048 Len=0"
"197","4.596464","192.168.1.66","172.217.19.195","TLSv1.2","312","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message, Encrypted Handshake Message"
"198","4.600028","192.168.1.66","172.217.19.195","TLSv1.2","312","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message, Encrypted Handshake Message"
"199","4.620547","192.168.1.66","216.58.218.228","QUIC","77","Payload (Encrypted), PKN: 34, CID: 1759074841042734174"
"201","4.723122","192.168.1.66","172.217.19.195","TCP","54","26714  >  443 [ACK] Seq=462 Ack=4788 Win=65792 Len=0"
"202","4.727824","192.168.1.66","172.217.19.195","TCP","54","26715  >  443 [ACK] Seq=462 Ack=4786 Win=65792 Len=0"
"203","5.092754","192.168.1.66","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"204","5.095834","192.168.1.66","172.217.11.131","TCP","66","26717  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"205","5.096183","192.168.1.66","172.217.11.131","TCP","66","26718  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"206","5.151084","192.168.1.66","172.217.11.131","TCP","54","26717  >  443 [ACK] Seq=1 Ack=1 Win=66048 Len=0"
"207","5.151170","192.168.1.66","172.217.11.131","TCP","54","26718  >  443 [ACK] Seq=1 Ack=1 Win=66048 Len=0"
"208","5.151347","192.168.1.66","172.217.11.131","TLSv1.2","257","Client Hello"
"209","5.151563","192.168.1.66","172.217.11.131","TLSv1.2","257","Client Hello"
"210","5.214192","192.168.1.66","172.217.11.131","TCP","54","26717  >  443 [ACK] Seq=204 Ack=4378 Win=66048 Len=0"
"211","5.216614","192.168.1.66","172.217.11.131","TCP","54","26718  >  443 [ACK] Seq=204 Ack=4378 Win=66048 Len=0"
"212","5.218002","192.168.1.66","172.217.11.131","TLSv1.2","312","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message, Encrypted Handshake Message"
"213","5.221710","192.168.1.66","172.217.11.131","TLSv1.2","312","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message, Encrypted Handshake Message"
"214","5.264047","192.168.1.66","216.58.218.228","QUIC","275","Payload (Encrypted), PKN: 35, CID: 1759074841042734174"
"215","5.264210","192.168.1.66","216.58.218.228","QUIC","66","Payload (Encrypted), PKN: 36, CID: 1759074841042734174"
"216","5.269687","192.168.1.66","172.217.11.131","TCP","54","26717  >  443 [ACK] Seq=462 Ack=4787 Win=65792 Len=0"
"217","5.269767","192.168.1.66","172.217.11.131","TCP","54","26718  >  443 [ACK] Seq=462 Ack=4787 Win=65792 Len=0"
"218","5.404362","192.168.1.66","216.58.218.228","QUIC","80","Payload (Encrypted), PKN: 37, CID: 1759074841042734174"
"220","6.082790","192.168.1.66","216.58.192.206","TCP","66","26719  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"221","6.083024","192.168.1.66","216.58.192.206","TCP","66","26720  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"222","6.083522","192.168.1.66","216.58.192.206","TCP","66","26721  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"223","6.112552","192.168.1.66","216.58.192.206","TCP","54","26719  >  443 [ACK] Seq=1 Ack=1 Win=66048 Len=0"
"224","6.112815","192.168.1.66","216.58.192.206","TLSv1.2","257","Client Hello"
"225","6.114361","192.168.1.66","216.58.192.206","TCP","54","26720  >  443 [ACK] Seq=1 Ack=1 Win=66048 Len=0"
"226","6.114412","192.168.1.66","216.58.192.206","TCP","54","26721  >  443 [ACK] Seq=1 Ack=1 Win=66048 Len=0"
"227","6.114501","192.168.1.66","216.58.192.206","TLSv1.2","257","Client Hello"
"228","6.169932","192.168.1.66","216.58.192.206","TCP","54","26719  >  443 [ACK] Seq=204 Ack=3805 Win=66048 Len=0"
"229","6.170243","192.168.1.66","216.58.192.206","TCP","54","26720  >  443 [ACK] Seq=204 Ack=3805 Win=66048 Len=0"
"230","6.172895","192.168.1.66","216.58.192.206","TLSv1.2","312","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message, Encrypted Handshake Message"
"231","6.176030","192.168.1.66","216.58.192.206","TLSv1.2","312","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message, Encrypted Handshake Message"
"232","6.213257","192.168.1.66","216.58.192.206","TCP","54","26719  >  443 [ACK] Seq=462 Ack=4214 Win=65792 Len=0"
"233","6.213463","192.168.1.66","216.58.192.206","TCP","54","26720  >  443 [ACK] Seq=462 Ack=4214 Win=65792 Len=0"
"234","6.266488","192.168.1.66","224.0.0.251","MDNS","82","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"235","6.959172","192.168.1.66","216.58.218.228","QUIC","130","Payload (Encrypted), PKN: 38, CID: 1759074841042734174"
"236","7.069831","192.168.1.66","216.58.218.228","QUIC","83","Payload (Encrypted), PKN: 39, CID: 1759074841042734174"
"240","9.064105","192.168.1.66","192.168.1.255","NBNS","92","Name query NB PUJFZNPOB<00>"
"241","9.065139","192.168.1.66","224.0.0.252","LLMNR","69","Standard query 0xc7bb A pujfznpob"
"242","9.070950","192.168.1.66","192.168.1.255","NBNS","92","Name query NB PFVVMCTZIAEXOVK<00>"
"243","9.072049","192.168.1.66","224.0.0.252","LLMNR","75","Standard query 0xad5f A pfvvmctziaexovk"
"244","9.078013","192.168.1.66","192.168.1.255","NBNS","92","Name query NB PGTDGUYUNOWM<00>"
"245","9.079087","192.168.1.66","224.0.0.252","LLMNR","72","Standard query 0xa0ac A pgtdguyunowm"
"246","9.473950","192.168.1.66","224.0.0.252","LLMNR","69","Standard query 0xc7bb A pujfznpob"
"247","9.489485","192.168.1.66","224.0.0.252","LLMNR","75","Standard query 0xad5f A pfvvmctziaexovk"
"248","9.489531","192.168.1.66","224.0.0.252","LLMNR","72","Standard query 0xa0ac A pgtdguyunowm"
"249","9.808544","192.168.1.66","192.168.1.255","NBNS","92","Name query NB PUJFZNPOB<00>"
"250","9.824148","192.168.1.66","192.168.1.255","NBNS","92","Name query NB PFVVMCTZIAEXOVK<00>"
"251","9.824545","192.168.1.66","192.168.1.255","NBNS","92","Name query NB PGTDGUYUNOWM<00>"
"252","9.848227","192.168.1.66","216.58.218.228","QUIC","183","Payload (Encrypted), PKN: 40, CID: 1759074841042734174"
